sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
736,5.989190037225001,2.078089382577736,7.5746,maize monoculture,Karama,6
737,1.5402997681125,1.2642114038182808,2.5129,Napier grass,Karama,6
738,7.179408861075,2.216962808340593,4.4462,Brachiaria cv. Mulato II,Karama,6
739,5.957249799225001,2.074083437546589,10.218,Desmodium distortum,Karama,6
741,3.0203457702,1.6134988098575176,4.6141000000000005,Napier + Desmodium,Karama,6
742,1.4960459151750003,1.2516325913383366,2.8295,Brachiaria + Desmodium,Karama,6
743,8.144209646324999,2.3169030645086166,11.552,maize monoculture,Karama,6
745,1.555679871225,1.2685462886343197,2.7880000000000003,Brachiaria cv. Mulato II,Karama,6
746,0.723170489325,1.001796822574466,1.823,Desmodium distortum,Karama,6
747,8.10625602315,2.313154640325786,10.106,Maize + Desmodium,Karama,6
748,12.416779580212502,2.668392776832576,16.943,Napier + Desmodium,Karama,6
749,8.3913054305625,2.3409694401987466,12.696,Brachiaria + Desmodium,Karama,6
750,6.997147411537501,2.1969075728219862,10.981,maize monoculture,Karama,6
751,10.1411631561,2.49660159291154,11.804,Napier grass,Karama,6
752,5.594069531999999,2.027367617943621,9.4566,Brachiaria cv. Mulato II,Karama,6
753,5.2356975283125005,1.9790267657075267,9.120600000000001,Desmodium distortum,Karama,6
754,2.0435277648,1.3971175200566894,3.3826,Maize + Desmodium,Karama,6
755,11.1817658408625,2.578834498921131,15.264000000000001,Napier + Desmodium,Karama,6
756,1.8777473092875003,1.3552543946374975,3.1993,Brachiaria + Desmodium,Karama,6
720,1.6419735877870387,1.2925257291613377,5.2101999999999995,Napier + Desmodium,Rubona,6
740,-1.762555196601164,-1.4378200892598165,1.5914000000000001,Maize + Desmodium,Karama,6
